Account_id   ,Account_holder,address_1                              ,address_2                              ,address_3                           ,address_4                           ,postcode,property_reference            ,property_description,liable_from              ,current_rateable_value
71192645,OXFORD FERTILITY LTD            ,GND FLR LHS & 1ST FLR              ,8000 ALEC ISSIGONIS WAY            ,OXFORD BUSINESS PARK NORTH      ,COWLEY                          ,OX4 2HW ,11007308002,Offices and Premises                                        ,01.04.2010               ,216000
71188121,PUBLISHING TECHNOLOGY PLC       ,1ST FLR 8100 ALEX ISSIGONIS WAY    ,OXFORD BUSINESS PARK NORTH         ,COWLEY                          ,                                ,OX4 2HU ,1100730810B        ,OFFICES AND PREMISES                                        ,30.01.2010               ,123000
71188121,PUBLISHING TECHNOLOGY PLC       ,1ST FLR 8100 ALEX ISSIGONIS WAY    ,OXFORD BUSINESS PARK NORTH         ,COWLEY                          ,                                ,OX4 2HU ,1100730810B        ,Offices and Premises                                        ,30.01.2010               ,123000
71192812,OEE CONSULTING LTD              ,GND FLR SOUTH 8100                 ,ALEC ISSISGONIS WAY                ,OXFORD BUSINESS PARK NORTH      ,COWLEY                          ,OX4 2HW ,1100730810C        ,OFFICES AND PREMISES                                        ,22.02.2016               ,54500
71192812,OEE CONSULTING LTD              ,GND FLR SOUTH 8100                 ,ALEC ISSISGONIS WAY                ,OXFORD BUSINESS PARK NORTH      ,COWLEY                          ,OX4 2HW ,1100730810C        ,Offices and Premises                                        ,22.02.2016               ,54500
71192813,JOHN WILEY & SONS LTD           ,GND FLR NORTH 8100                 ,ALEC ISSIGONIS WAY                 ,OXFORD BUSINESS PARK NORTH      ,COWLEY                          ,OX4 2HW ,1100730810D        ,OFFICES AND PREMISES                                        ,22.02.2016               ,59500
71192813,JOHN WILEY & SONS LTD           ,GND FLR NORTH 8100                 ,ALEC ISSIGONIS WAY                 ,OXFORD BUSINESS PARK NORTH      ,COWLEY                          ,OX4 2HW ,1100730810D        ,Offices and Premises                                        ,22.02.2016               ,59500
71184167,DAVID LLOYD LEISURE LTD         ,ALEX ISSIGONIS WAY                 ,OXFORD BUSINESS PARK NORTH         ,COWLEY                          ,OXFORD                          ,OX4 2JZ ,11007309000,LEISURE CENTRE AND PREMISES                                 ,01.04.2004               ,400000
71184167,DAVID LLOYD LEISURE LTD         ,ALEX ISSIGONIS WAY                 ,OXFORD BUSINESS PARK NORTH         ,COWLEY                          ,OXFORD                          ,OX4 2JZ ,11007309000,HEALTH AND FITNESS CENTRE AND PREMISES                      ,01.04.2004               ,400000
71185742,ELECTROCOMPONENTS PLC           ,8050 ALEX ISSIGONIS WAY            ,OXFORD BUSINESS PARK NORTH         ,COWLEY                          ,OXFORD                          ,OX4 2HW ,11007380500,OFFICES AND PREMISES                                        ,28.09.2006               ,208000
71185742,ELECTROCOMPONENTS PLC           ,8050 ALEX ISSIGONIS WAY            ,OXFORD BUSINESS PARK NORTH         ,COWLEY                          ,OXFORD                          ,OX4 2HW ,11007380500,OFFICES AND PREMISES                                        ,28.09.2006               ,208000
71193566,LOCALE LTD                      ,GND FLR BLUE BOAR COURT            ,ALFRED STREET                      ,OXFORD                          ,                                ,OX1 4EH ,11007700000,OFFICES AND PREMISES                                        ,07.05.2017               ,45750
71193566,LOCALE LTD                      ,GND FLR BLUE BOAR COURT            ,ALFRED STREET                      ,OXFORD                          ,                                ,OX1 4EH ,11007700000,OFFICES AND PREMISES                                        ,07.05.2017               ,45750
71190321,SEMMLE LTD                      ,3RD FLR BLUE BOAR COURT            ,ALFRED STREET                      ,OXFORD                          ,                                ,OX1 4EH ,11007700008,OFFICES AND PREMISES                                        ,07.12.2012               ,52000
71190321,SEMMLE LTD                      ,3RD FLR BLUE BOAR COURT            ,ALFRED STREET                      ,OXFORD                          ,                                ,OX1 4EH ,11007700008,OFFICES AND PREMISES                                        ,07.12.2012               ,52000
71189344,TOUCHLOAD LTD                   ,1ST- 3RD FLRS                      ,3 ALFRED STREET                    ,OXFORD                          ,                                ,OX1 4EH ,1100770030A        ,OFFICES AND PREMISES                                        ,01.07.2011               ,28000
71189344,TOUCHLOAD LTD                   ,1ST- 3RD FLRS                      ,3 ALFRED STREET                    ,OXFORD                          ,                                ,OX1 4EH ,1100770030A        ,OFFICES AND PREMISES                                        ,01.07.2011               ,28000
71186708,FULLER SMITH & TURNER PLC       ,BEAR INN                           ,6 ALFRED STREET                    ,OXFORD                          ,                                ,OX1 4EH ,11007700600,PUBLIC HOUSE AND PREMISES                                   ,21.12.2007               ,77000
71186708,FULLER SMITH & TURNER PLC       ,BEAR INN                           ,6 ALFRED STREET                    ,OXFORD                          ,                                ,OX1 4EH ,11007700600,PUBLIC HOUSE AND PREMISES                                   ,21.12.2007               ,77000
71191964,SEMMLE LTD                      ,1ST FLOOR BLUE BOAR COURT          ,ALFRED STREET                      ,OXFORD                          ,                                ,OX1 4EH ,11007710007,OFFICES AND PREMISES                                        ,09.10.2014               ,44250
