Case Number,Address,Total Number Occupants,Total Number Units,Licence Commenced,Licence Expires
17/01765/HMOADL,41 Juxon Street Oxford Oxfordshire OX2 6DJ,5,,10/07/2017,24/01/2021
17/01766/HMOADS,54 Juxon Street Oxford Oxfordshire OX2 6DJ,4,,10/07/2017,24/01/2021
16/05646/HMOADS,Flat 18 Juxon House Juxon Street Oxford Oxfordshire OX2 6DR,3,,23/02/2017,24/01/2021
16/05760/HMOADL,60 Juxon Street Oxford Oxfordshire OX2 6DJ,4,,20/02/2017,24/01/2021
17/01014/HMOADS,24 Wharf House Juxon Street Oxford Oxfordshire OX2 6DU,3,,22/05/2017,24/01/2021
16/01882/HMOADS,14 Wharf House Juxon Street Oxford Oxfordshire OX2 6DU,3,,23/03/2017,22/03/2018
16/02355/HMOADS,13 Wharf House Juxon Street Oxford Oxfordshire OX2 6DU,3,,20/02/2017,19/02/2018
16/01980/HMOADL,42 Juxon Street Oxford Oxfordshire OX2 6DJ,5,,22/02/2017,24/01/2021
16/01975/HMOADS,25 Wharf House Juxon Street Oxford Oxfordshire OX2 6DU,3,,04/06/2016,24/01/2021
16/01953/HMOADS,18 Wharf House Juxon Street Oxford Oxfordshire OX2 6DU,3,,11/07/2017,10/07/2018
16/01949/HMOADS,16 Wharf House Juxon Street Oxford Oxfordshire OX2 6DU,3,,22/12/2016,22/12/2017
16/02356/HMOADS,Flat 12 Juxon House Juxon Street Oxford Oxfordshire OX2 6DR,3,,30/12/2016,30/12/2017
16/05783/HMOADL,2 Juxon Street Oxford Oxfordshire OX2 6DL,4,,03/02/2017,24/01/2021
16/01943/HMOADS,4 Wharf House Juxon Street Oxford Oxfordshire OX2 6DU,3,,20/02/2017,19/02/2018
16/01851/HMOADS,6 Wharf House Juxon Street Oxford Oxfordshire OX2 6DU,3,,31/05/2017,30/05/2018
16/00346/HMOADS,37 Juxon Street Oxford Oxfordshire OX2 6DJ,5,5,23/03/2016,24/01/2021
16/00345/HMOADS,9 Juxon Street Oxford Oxfordshire OX2 6DL,5,5,23/03/2016,24/01/2021
16/00091/HMOADS,56 Juxon Street Oxford Oxfordshire OX2 6DJ,5,5,11/02/2016,11/02/2018
16/00089/HMOADS,6 Juxon Street Oxford Oxfordshire OX2 6DL,4,4,11/02/2016,11/02/2018
16/05637/HMOADL,44 Juxon Street Oxford Oxfordshire OX2 6DJ,4,,20/02/2017,24/01/2021
16/01904/HMOADS,12 Wharf House Juxon Street Oxford Oxfordshire OX2 6DU,3,,28/03/2017,29/03/2018
16/05301/HMOADS,17 Juxon Street Oxford Oxfordshire OX2 6DL,3,,22/02/2017,24/01/2021
16/05239/HMOADS,14 Juxon Street Oxford Oxfordshire OX2 6DL,3,,22/02/2017,24/01/2021
16/05218/HMOADS,12 Juxon Street Oxford Oxfordshire OX2 6DL,3,,22/02/2017,24/01/2021
16/05214/HMOADS,Flat 6 Juxon House Juxon Street Oxford Oxfordshire OX2 6DR,3,,23/02/2017,24/01/2021
16/05183/HMOLIC,24 Juxon Street Oxford Oxfordshire OX2 6DL,5,,20/02/2017,19/02/2022
15/03936/HMOADL,36 Juxon Street Oxford Oxfordshire OX2 6DJ,5,5,22/11/2015,22/11/2017
16/02550/HMOADL,51 Juxon Street Oxford Oxfordshire OX2 6DJ,5,,11/07/2016,24/01/2021
16/01901/HMOADS,11 Wharf House Juxon Street Oxford Oxfordshire OX2 6DU,3,,04/01/2017,04/01/2018
16/05249/HMOADS,21 Juxon Street Oxford Oxfordshire OX2 6DL,3,,22/02/2017,24/01/2021
16/05131/HMOADS,38 Juxon Street Oxford Oxfordshire OX2 6DJ,4,,30/05/2017,29/05/2018
16/05056/HMOADS,3 Juxon Street Oxford Oxfordshire OX2 6DL,3,,20/02/2017,24/01/2021
16/04876/HMOADL,1 Juxon Street Oxford Oxfordshire OX2 6DL,5,,23/10/2016,24/01/2021
16/04332/HMOADS,10 Juxon Street Oxford Oxfordshire OX2 6DL,3,,30/09/2016,24/01/2021
16/03111/HMOADL,13 Juxon Street Oxford Oxfordshire OX2 6DL,5,,23/02/2017,22/02/2022
16/02553/HMOADL,52 Juxon Street Oxford Oxfordshire OX2 6DJ,5,,22/02/2017,24/01/2021
16/05178/HMOADS,62 Juxon Street Oxford Oxfordshire OX2 6DJ,3,,27/02/2017,26/02/2019
16/01426/HMOLIC,46 Kelburne Road Oxford Oxfordshire OX4 3SH,5,5,08/05/2016,08/05/2018
16/03569/HMOADL,12 Kenilworth Avenue Oxford Oxfordshire OX4 2AN,5,5,15/08/2016,24/01/2021
17/02824/HMOADS,13 Kenilworth Avenue Oxford Oxfordshire OX4 2AW,4,,25/04/2017,24/04/2018
17/02166/HMOADL,2A Kenilworth Avenue Oxford Oxfordshire OX4 2AN,5,5,29/07/2017,28/07/2018
17/02045/HMOADS,15 Kenilworth Avenue Oxford Oxfordshire OX4 2AW,4,,26/07/2017,25/07/2019
16/05063/HMOADS,4 Kenilworth Avenue Oxford OX4 2AN,4,4,03/12/2016,03/04/2018
15/05119/HMOADL,24 Kenilworth Avenue Oxford Oxfordshire OX4 2AN,10,,13/01/2016,13/01/2018
16/04644/HMOADS,2 Kenilworth Avenue Oxford Oxfordshire OX4 2AN,4,,12/06/2017,11/06/2018
16/03310/HMOADS,6 Kenilworth Avenue Oxford Oxfordshire OX4 2AN,6,6,27/07/2016,27/03/2018
16/02316/HMOADS,1 Kenilworth Avenue Oxford Oxfordshire OX4 2AW,4,,09/07/2016,09/07/2018
16/02240/HMOADS,26 Kenilworth Avenue Oxford Oxfordshire OX4 2AN,4,4,10/06/2016,10/11/2018
16/01743/HMOADS,18 Kenilworth Avenue Oxford Oxfordshire OX4 2AN,4,,27/07/2017,26/07/2019
16/01559/HMOADL,7 Kenilworth Avenue Oxford Oxfordshire OX4 2AW,5,,21/05/2016,21/05/2018
16/04732/HMOADL,10 Kenilworth Avenue Oxford Oxfordshire OX4 2AN,5,5,06/11/2016,24/01/2021
16/03929/HMOADS,11 Kennedy Close Oxford Oxfordshire OX4 2UH,5,,19/09/2016,04/05/2018
15/04083/HMOADS,21 Kennedy Close Oxford Oxfordshire OX4 2UH,7,,22/11/2016,22/11/2017
16/03729/HMOADL,8 Kennedy Close Oxford Oxfordshire OX4 2UH,5,5,26/07/2017,25/07/2018
16/03172/HMOADL,18 Kennedy Close Oxford Oxfordshire OX4 2UH,5,5,24/08/2017,23/08/2018
16/01324/HMOADL,32 Kennett Road Oxford Headington Oxfordshire OX3 7BJ,5,5,14/10/2015,14/10/2017
16/03580/HMOADS,50 Kennett Road Oxford Headington Oxfordshire OX3 7BJ,4,,14/08/2016,24/01/2021
16/03837/HMOADL,6 Kennett Road Oxford Headington Oxfordshire OX3 7BJ,5,,08/09/2016,24/01/2021
16/04804/HMOADL,17 Kennett Road Oxford Headington Oxfordshire OX3 7BH,5,5,10/11/2016,24/01/2021
17/00410/HMOADS,48 Kennett Road Oxford Headington Oxfordshire OX3 7BJ,4,,04/04/2017,04/04/2019
16/02606/HMOADL,36 Kersington Crescent Oxford Oxfordshire OX4 3RJ,7,7,18/08/2016,18/11/2017
16/04134/HMOLIC,24 Kineton Road Oxford Oxfordshire OX1 4PG,5,5,02/10/2016,01/01/2018
16/04080/HMOLIC,3A King's Cross Road Oxford Oxfordshire OX2 7EU,5,4,29/09/2016,07/10/2017
16/03933/HMOLIC,7A King's Cross Road Oxford Oxfordshire OX2 7EU,5,,20/09/2016,20/11/2017
16/03623/HMOADS,139B Kingston Road Oxford Oxfordshire OX2 6RP,3,3,22/08/2016,24/01/2021
17/01087/HMOADL,166 Kingston Road Oxford OX2 6EG,5,4,17/05/2017,16/05/2018
17/00919/HMOADS,2A Kingston Road Oxford Oxfordshire OX2 6EF,3,,05/04/2017,24/01/2021
16/05498/HMOLIC,140 Kingston Road Oxford Oxfordshire OX2 6RP,6,6,27/01/2017,27/01/2022
16/05409/HMOLIC,158 Kingston Road Oxford Oxfordshire OX2 6RP,6,5,04/03/2017,03/03/2018
16/03629/HMOADS,139A Kingston Road Oxford OX2 6RP,3,3,27/08/2016,24/01/2021
16/02670/HMOLIC,4 Kingston Road Oxford Oxfordshire OX2 6EF,6,,15/07/2016,24/01/2021
16/02403/HMOLIC,103 Kingston Road Oxford Oxfordshire OX2 6RN,6,6,02/02/2017,02/02/2018
16/02136/HMOLIC,3 Kingston Road Oxford Oxfordshire OX2 6EF,6,,27/03/2017,26/03/2022
16/01720/HMOLIC,165A Kingston Road Oxford Oxfordshire OX2 6EG,4,,21/05/2016,21/05/2018
16/01717/HMOADL,89A Kingston Road Oxford Oxfordshire OX2 6RJ,3,3,21/05/2016,21/05/2018
16/00206/HMOLIC,178A Kingston Road Oxford Oxfordshire OX2 6EG,5,5,12/09/2017,11/09/2018
17/01872/HMOADS,1 Kingston Road Oxford Oxfordshire OX2 6EF,4,,15/07/2017,24/01/2021
16/03601/HMOADS,138 Kingston Road Oxford Oxfordshire OX2 6RW,3,4,23/08/2016,24/01/2021
16/02153/HMOADS,11 Kirby Place Oxford Oxfordshire OX4 2RX,3,3,05/06/2016,24/01/2021
17/01730/HMOADS,18 Kirby Place Oxford Cowley Oxfordshire OX4 2RX,4,4,26/09/2016,24/01/2021
17/00225/HMOADS,17 Kirby Place Oxford Cowley Oxfordshire OX4 2RX,4,4,27/02/2017,24/01/2021
16/04534/HMOADS,20 Kirby Place Oxford Cowley Oxfordshire OX4 2RX,4,4,22/10/2016,24/01/2021
16/03957/HMOADL,10 Kirby Place Oxford Oxfordshire OX4 2RX,3,3,22/09/2016,24/01/2021
16/04221/HMOADS,7 Kirby Place Oxford Oxfordshire OX4 2RX,4,4,11/10/2016,24/01/2021
16/03787/HMOADS,48 Lake Street Oxford Oxfordshire OX1 4RP,3,3,05/09/2016,05/01/2018
15/04160/HMOLIC,15 Lake Street Oxford Oxfordshire OX1 4RN,6,6,29/11/2015,29/11/2017
17/00610/HMOADL,40A Lake Street Oxford Oxfordshire OX1 4RW,4,,02/03/2017,01/03/2018
17/01807/HMOLIC,62 Lake Street Oxford Oxfordshire OX1 4RR,6,6,11/07/2017,10/07/2019
16/03034/HMOADL,59D Lake Street Oxford Oxfordshire OX1 4RR,5,,01/03/2017,28/02/2018
16/02621/HMOADL,64 Lake Street Oxford Oxfordshire OX1 4RR,16,16,26/06/2016,25/12/2017
16/02790/HMOLIC,59F Lake Street Oxford Oxfordshire OX1 4RR,7,,01/03/2017,28/02/2018
15/03752/HMOADL,37 Lamarsh Road Oxford Oxfordshire OX2 0LD,5,5,06/10/2016,06/10/2017
16/02250/HMOLIC,27 Lamarsh Road Oxford Oxfordshire OX2 0LD,5,,18/11/2016,18/11/2017
16/03964/HMOADL,9 Lamarsh Road Oxford Oxfordshire OX2 0LD,3,3,23/09/2016,23/03/2018
16/04372/HMOADL,41 Lamarsh Road Oxford Oxfordshire OX2 0LD,5,5,20/02/2017,19/02/2018
16/04373/HMOADL,43 Lamarsh Road Oxford Oxfordshire OX2 0LD,5,,20/02/2017,19/02/2018
16/04374/HMOADL,35 Lamarsh Road Oxford Oxfordshire OX2 0LD,5,,14/03/2017,13/03/2018
17/02713/HMOADS,31 Lambourn Road Oxford Oxfordshire OX4 4SB,3,3,03/09/2017,02/09/2018
17/00125/HMOADL,D Langley Court Langley Close Headington Oxford,5,5,01/03/2017,28/01/2018
16/04846/HMOADS,29 Langley Close Headington Oxford OX3 7DB,10,10,17/11/2016,24/01/2021
16/00550/HMOADS,17 Langley Close Oxford Oxfordshire OX3 7DB,4,,03/04/2016,03/10/2017
16/03674/HMOADL,79 Langley Close Oxford Oxfordshire OX3 7DB,5,,01/09/2016,01/01/2018
16/04258/HMOADL,71 Langley Close Oxford Oxfordshire OX3 7DB,5,4,13/10/2016,13/04/2018
16/05471/HMOADL,35 Latimer Road Oxford Oxfordshire OX3 7PG,5,,08/01/2017,07/01/2019
17/00145/HMOLIC,7 Lawrence Road Oxford Oxfordshire OX4 3ER,7,7,23/03/2017,22/03/2018
17/00347/HMOADL,3 Leander Way Oxford Oxfordshire OX1 4XR,5,,23/03/2017,22/03/2018
17/01770/HMOADS,11 Leander Way Oxford Oxfordshire OX1 4XR,5,,30/06/2017,24/01/2021
16/01905/HMOADS,103 Leiden Road Oxford Oxfordshire OX3 8QX,4,,02/06/2016,02/06/2018
16/04822/HMOADL,128 Leiden Road Oxford Oxfordshire OX3 8QU,5,4,15/11/2016,15/11/2017
16/04839/HMOADL,105 Leiden Road Oxford Oxfordshire OX3 8QX,4,,16/11/2016,15/01/2018
16/05847/HMOADL,23 Leopold Street Oxford Oxfordshire OX4 1PS,4,4,02/02/2017,01/02/2018
17/02716/HMOADS,22 Leopold Street Oxford Oxfordshire OX4 1PS,4,4,03/09/2017,02/09/2019
17/02159/HMOADS,31 Leopold Street Oxford Oxfordshire OX4 1PU,4,4,27/07/2017,28/07/2018
17/01249/HMOADL,9 Leopold Street Oxford Oxfordshire OX4 1PS,4,,08/06/2017,07/06/2019
16/05720/HMOADS,11 Leopold Street Oxford Oxfordshire OX4 1PS,4,,21/01/2017,21/01/2018
16/04119/HMOADS,25 Leopold Street Oxford Oxfordshire OX4 1PU,3,,01/10/2016,01/10/2017
15/05224/HMOADL,1 Leopold Street Oxford Oxfordshire,6,,05/12/2016,05/12/2017
16/02076/HMOADS,8 Leopold Street Oxford Oxfordshire OX4 1PS,4,4,20/05/2016,24/01/2021
17/01940/HMOADS,6 Leopold Street Oxford OX4 1PS,4,4,12/07/2017,11/07/2019
16/01482/HMOLIC,21 Leopold Street Oxford Oxfordshire OX4 1PS,4,,17/10/2016,17/10/2017
16/00767/HMOADS,7 Leopold Street Oxford Oxfordshire OX4 1PS,4,4,28/04/2016,28/04/2018
16/04656/HMOADL,4 Leopold Street Oxford Oxfordshire OX4 1PS,4,,01/11/2016,01/11/2017
16/05590/HMOADL,4 Leys Place Oxford Oxfordshire OX4 3DE,3,,14/01/2017,14/01/2019
16/06082/HMOLIC,1 Leys Place Oxford Oxfordshire OX4 3DE,16,8,17/08/2017,16/08/2018
15/05412/HMOADS,12 Leys Place Oxford Oxfordshire OX4 3DE,4,,19/04/2017,18/04/2018
15/05364/HMOADS,7 Leys Place Oxford Oxfordshire OX4 3DE,4,,19/04/2017,18/04/2018
15/05354/HMOADL,5 Leys Place Oxford Oxfordshire OX4 3DE,5,,19/04/2017,18/04/2018
16/03614/HMOADL,16 Liddell Road Oxford Oxfordshire OX4 3QT,6,5,25/08/2016,25/11/2017
16/03723/HMOADS,1A Liddell Road Oxford Oxfordshire OX4 3QT,3,3,04/09/2016,04/09/2018
16/03128/HMOADS,1 Liddell Road Oxford Oxfordshire OX4 3QT,5,5,16/07/2016,16/07/2018
16/05530/HMOADS,21 Lime Walk Oxford Oxfordshire OX3 7AB,4,4,12/01/2017,12/01/2019
17/00939/HMOADS,60 Lime Walk Oxford Oxfordshire OX3 7AE,4,2,13/06/2017,12/06/2018
17/02602/HMOADL,91 Lime Walk Oxford Oxfordshire OX3 7AD,7,7,26/08/2017,25/08/2019
17/00887/HMOADL,23 Lime Walk Oxford Oxfordshire OX3 7AB,5,5,01/05/2017,24/01/2021
17/00488/HMOADL,37 Lime Walk Oxford Oxfordshire OX3 7AB,6,,12/04/2017,12/04/2019
17/00436/HMOADL,54A Lime Walk Oxford Oxfordshire OX3 7AE,3,3,01/04/2017,02/04/2018
16/06045/HMOLIC,60A Lime Walk Oxford Oxfordshire OX3 7AE,5,5,18/02/2017,17/02/2022
16/03705/HMOADS,96 Lime Walk Oxford Oxfordshire OX3 7AF,4,,03/09/2016,03/12/2017
16/00165/HMOADL,73A Lime Walk Oxford Oxfordshire OX3 7AD,5,5,27/02/2016,27/02/2018
16/05336/HMOADL,27 Lime Walk Oxford Oxfordshire OX3 7AB,5,,13/11/2016,12/11/2018
16/03796/HMOADL,45 Lime Walk Oxford Oxfordshire OX3 7AB,5,5,10/09/2016,10/10/2017
16/03975/HMOADS,First Floor Flat 2 8 Lime Walk Oxford Oxfordshire OX3 7AE,3,,25/09/2016,25/03/2018
16/04190/HMOADS,124 Lime Walk Oxford Oxfordshire OX3 7AF,4,,08/10/2016,24/01/2021
16/04474/HMOADL,Top Floor Flat A 74 Lime Walk Oxford Oxfordshire OX3 7AE,5,4,15/10/2016,15/04/2018
16/05307/HMOADS,28 Lime Walk Oxford Oxfordshire OX3 7AE,4,3,22/12/2016,24/01/2021
16/03050/HMOADL,6 Lincoln Road Oxford Oxfordshire OX1 4TB,6,,08/07/2016,08/11/2017
16/03665/HMOADL,11 Little Brewery Street Oxford Oxfordshire OX4 1BJ,5,,29/08/2016,28/08/2018
16/03582/HMOADL,4 Little Brewery Street Oxford Oxfordshire OX4 1BJ,4,4,14/08/2016,14/11/2017
16/03412/HMOADL,Flat Above 3 Little Clarendon Street Oxford Oxfordshire OX1 2HP,3,3,13/08/2016,13/08/2018
16/05079/HMOLIC,1A Little Clarendon Street Oxford Oxfordshire OX1 2HP,13,10,09/12/2016,08/12/2018
16/03163/HMOADL,10 Littlehay Road Oxford Oxfordshire OX4 3EG,4,4,30/07/2016,30/07/2018
16/04326/HMOADL,5 Littlehay Road Oxford Oxfordshire OX4 3EG,6,6,18/10/2016,24/01/2021
17/01507/HMOADL,13 Littlehay Road Oxford Oxfordshire OX4 3EG,5,,21/07/2016,21/07/2018
17/00584/HMOADS,2A Littlehay Road Oxford Oxfordshire OX4 3EG,4,4,20/04/2017,19/04/2018
16/04161/HMOADL,27 Littlehay Road Oxford Oxfordshire OX4 3EG,9,6,06/10/2016,06/10/2017
16/03852/HMOADS,38 Littlehay Road Oxford Oxfordshire OX4 3EG,3,3,08/09/2016,08/11/2017
16/04091/HMOADS,56 Littlehay Road Oxford Oxfordshire OX4 3EQ,4,,29/09/2016,29/10/2017
16/01826/HMOADL,11A Littlemore Road Oxford Oxfordshire OX4 3ST,5,,27/05/2016,27/05/2018
16/02464/HMOADS,42 Littlemore Road Oxford Oxfordshire OX4 3SU,4,,15/06/2016,14/06/2018
16/03340/HMOADS,11 Littlemore Road Oxford Oxfordshire OX4 3ST,4,,10/08/2016,10/08/2018
16/04859/HMOADL,7 Littlemore Road Oxford Oxfordshire OX4 3ST,6,6,20/11/2016,19/12/2017
17/01323/HMOADL,29 Lodge Close Oxford Oxfordshire OX3 0QP,4,4,06/06/2017,05/06/2018
16/03283/HMOLIC,19 London Place Oxford Oxfordshire OX4 1BD,5,6,25/07/2016,25/12/2017
16/06155/HMOADL,23 London Place Oxford Oxfordshire OX4 1BD,4,6,20/02/2017,24/01/2021
16/04976/HMOLIC,22 London Place Oxford Oxfordshire OX4 1BD,5,5,15/12/2016,15/12/2021
16/04525/HMOLIC,18 London Place Oxford Oxfordshire OX4 1BD,5,4,20/10/2016,20/01/2018
16/03874/HMOLIC,21 London Place Oxford Oxfordshire OX4 1BD,5,5,10/09/2016,10/09/2018
16/05108/HMOADS,Flat 6 104 London Road Headington Oxford Oxfordshire OX3 9AJ,5,4,09/10/2016,09/10/2018
17/01352/HMOADL,200 London Road Headington Oxford Oxfordshire OX3 9EE,6,6,17/06/2017,16/06/2018
17/01264/HMOADS,315 London Road Headington Oxford Oxfordshire OX3 9EJ,3,3,25/08/2017,24/08/2018
16/06042/HMOADS,Flat 5 104 London Road Headington Oxford Oxfordshire OX3 9AJ,5,,10/02/2017,10/02/2019
16/05024/HMOADL,225 London Road Headington Oxford Oxfordshire OX3 9JA,5,5,28/11/2016,28/01/2018
16/04900/HMOADS,62 London Road Headington Oxford Oxfordshire OX3 7PD,5,,20/11/2016,19/11/2018
16/04840/HMOADS,253A London Road Headington Oxford Oxfordshire OX3 9EH,4,4,15/11/2016,15/11/2018
16/04603/HMOLIC,214 London Road Headington Oxford Oxfordshire OX3 9EE,5,5,27/10/2016,24/01/2021
16/03853/HMOADS,113A London Road Headington Oxford Oxfordshire OX3 9HZ,4,,09/09/2016,09/02/2018
16/03431/HMOADL,21 London Road Headington Oxford Oxfordshire OX3 7RE,4,,08/08/2016,08/11/2017
16/02832/HMOADL,198 London Road Headington Oxford Oxfordshire OX3 9EE,5,4,30/06/2016,30/12/2017
16/00754/HMOADL,222 London Road Headington Oxford Oxfordshire OX3 9EG,6,,04/11/2016,04/11/2017
15/01319/HMOADL,275 London Road Headington Oxford Oxfordshire OX3 9EH,4,4,30/05/2015,22/11/2017
17/00180/HMOLIC,Dorset House 44 - 60 London Road Headington Oxford Oxfordshire,313,,22/03/2017,21/03/2018
16/05941/HMOADL,27 Long Close Oxford Oxfordshire OX3 8TT,5,5,11/02/2017,11/02/2018
16/03081/HMOADS,8 Long Lane Oxford Oxfordshire OX4 3TW,4,4,12/07/2016,12/12/2017
16/03202/HMOADL,57 Long Lane Oxford OX4 3TN,5,5,22/07/2016,22/09/2017
17/01808/HMOLIC,75 Long Lane Oxford Oxfordshire OX4 3TN,6,6,01/07/2017,30/06/2019
17/02255/HMOADS,77 Long Lane Oxford Oxfordshire OX4 3TN,4,,20/07/2017,19/07/2018
16/01360/HMOLIC,4 Longworth Road Oxford Oxfordshire OX2 6RA,7,,09/02/2016,09/02/2018
16/05104/HMOADL,1 Lyndworth Close Oxford Oxfordshire OX3 9ER,6,6,24/10/2016,24/10/2017
17/02273/HMOADS,22 Lyndworth Close Oxford Oxfordshire OX3 9ER,3,,16/08/2017,15/08/2018
17/00645/HMOADS,14 Lyndworth Close Oxford Oxfordshire OX3 9ER,3,4,12/05/2017,11/05/2018
17/02121/HMOADL,3 Lyndworth Mews Oxford Oxfordshire OX3 9HJ,4,4,22/07/2017,24/01/2021
16/01731/HMOADL,10 Lyndworth Mews Oxford Oxfordshire OX3 9HJ,4,4,21/05/2016,21/05/2018
16/02857/HMOADL,12 Lyndworth Mews Oxford Oxfordshire OX3 9HJ,4,4,30/07/2016,30/09/2017
16/02858/HMOADL,15 Lyndworth Mews Oxford Oxfordshire OX3 9HJ,4,4,22/07/2016,22/10/2017
16/02859/HMOADL,16 Lyndworth Mews Oxford Oxfordshire OX3 9HJ,4,4,22/07/2016,22/09/2017
16/03165/HMOADL,4 Lyndworth Mews Oxford Oxfordshire OX3 9HJ,4,4,21/09/2016,21/09/2017
17/00892/HMOADL,7 Lyndworth Mews Oxford Oxfordshire OX3 9HJ,4,4,08/05/2017,07/05/2019
16/02666/HMOADL,1 Lytton Road Oxford Oxfordshire OX4 3PB,5,,27/06/2016,27/06/2018
16/05032/HMOADL,108 Lytton Road Oxford Oxfordshire OX4 3NZ,5,5,01/12/2016,30/11/2017
17/00005/HMOADS,5 Magdalen Road Oxford Oxfordshire OX4 1RW,3,3,23/02/2017,24/02/2019
16/05069/HMOADL,133 Magdalen Road Oxford Oxfordshire OX4 1RJ,6,,04/12/2016,04/12/2017
16/05078/HMOADS,135 Magdalen Road Oxford Oxfordshire OX4 1RJ,4,4,08/07/2016,08/07/2018
17/02719/HMOADS,148 Magdalen Road Oxford Oxfordshire OX4 1RL,4,,13/09/2017,12/09/2018
16/05384/HMOADS,7 Magdalen Road Oxford Oxfordshire OX4 1RW,4,,31/12/2016,31/12/2017
16/05562/HMOADL,143 Magdalen Road Oxford Oxfordshire OX4 1RL,4,,03/03/2017,02/03/2018
16/05876/HMOADL,19 Magdalen Road Oxford Oxfordshire OX4 1RP,5,,03/02/2017,03/02/2019
17/00205/HMOLIC,127 Magdalen Road Oxford Oxfordshire OX4 1RJ,5,,17/03/2017,16/03/2019
17/00270/HMOLIC,100 Magdalen Road Oxford Oxfordshire OX4 1RG,5,,23/03/2017,22/03/2019
17/00654/HMOADS,23 Magdalen Road Oxford Oxfordshire OX4 1RP,4,,04/03/2017,04/03/2019
17/02107/HMOADL,82 Magdalen Road Oxford Oxfordshire OX4 1RE,5,,24/07/2017,23/07/2019
16/04733/HMOLIC,56 Magdalen Road Oxford Oxfordshire OX4 1RB,6,6,04/11/2016,04/06/2018
17/02625/HMOADL,149 Magdalen Road Oxford Oxfordshire OX4 1RL,5,5,23/08/2017,24/08/2019
16/04079/HMOADL,17 Magdalen Road Oxford Oxfordshire OX4 1RP,5,5,29/09/2016,29/09/2018
17/02720/HMOADL,151 Magdalen Road Oxford Oxfordshire OX4 1RL,6,,13/09/2017,12/09/2018
17/02258/HMOADS,87 Magdalen Road Oxford OX4 1RE,4,4,07/08/2017,06/08/2019
16/03588/HMOADL,110A Magdalen Road Oxford Oxfordshire OX4 1RQ,4,4,29/08/2016,31/10/2017
15/03689/HMOADL,130 Magdalen Road Oxford Oxfordshire OX4 1RJ,5,,26/10/2016,26/10/2017
15/04476/HMOADS,47 Magdalen Road Oxford Oxfordshire OX4 1RB,4,,24/11/2015,24/11/2017
16/02507/HMOADS,138A Magdalen Road Oxford Oxfordshire OX4 1RJ,3,,29/06/2016,28/12/2017
16/02942/HMOADS,141 Magdalen Road Oxford Oxfordshire OX4 1RL,4,4,05/07/2016,24/01/2021
16/03315/HMOADS,6 Magdalen Road Oxford Oxfordshire OX4 1RW,5,4,28/07/2016,28/10/2017
16/04266/HMOADS,93 Magdalen Road Oxford Oxfordshire OX4 1RG,4,,14/10/2016,14/10/2018
16/03460/HMOADL,26 Magdalen Road Oxford Oxfordshire OX4 1RP,4,5,28/08/2016,27/03/2018
16/04639/HMOADL,128 Magdalen Road Oxford Oxfordshire OX4 1RJ,5,5,30/10/2016,29/10/2018
16/03707/HMOLIC,99 Magdalen Road Oxford Oxfordshire OX4 1RG,5,5,03/09/2016,03/01/2018
16/03951/HMOADS,32 Magdalen Road Oxford Oxfordshire OX4 1RB,3,3,23/09/2016,23/09/2018
16/04100/HMOLIC,1 Magdalen Road Oxford Oxfordshire OX4 1RW,7,7,30/09/2016,30/09/2017
16/04504/HMOADS,111A Magdalen Road Oxford Oxfordshire OX4 1RQ,3,,17/10/2016,31/10/2017
16/04636/HMOADL,153 Magdalen Road Oxford OX4 1RL,9,,29/10/2016,31/10/2017
16/03320/HMOADS,98 Magdalen Road Oxford Oxfordshire OX4 1RG,3,3,24/03/2017,23/03/2018
16/03584/HMOADL,25 Maidcroft Road Oxford Oxfordshire OX4 3EN,5,5,26/08/2016,26/11/2017
16/03916/HMOADL,49 Maidcroft Road Oxford Oxfordshire OX4 3EW,4,4,22/09/2016,22/09/2018
16/01713/HMOADL,21 Maidcroft Road Oxford Oxfordshire OX4 3EN,5,,27/01/2017,27/01/2018
17/00159/HMOADL,23 Maidcroft Road Oxford Oxfordshire OX4 3EN,6,,16/03/2017,17/03/2019
15/04919/HMOADS,16 Margaret Road Oxford Oxfordshire OX3 8NQ,5,,03/01/2017,03/01/2018
16/05197/HMOADS,70 Margaret Road Oxford Oxfordshire OX3 8NQ,3,,23/02/2017,22/02/2018
17/00653/HMOADS,13 Margaret Road Oxford Oxfordshire OX3 8NJ,4,,08/05/2017,07/05/2018
17/00432/HMOADS,57 Mark Road Oxford Oxfordshire OX3 8PB,4,,03/04/2017,02/04/2018
16/02447/HMOADS,59 Mark Road Oxford Oxfordshire OX3 8PB,5,,01/07/2016,27/03/2018
16/05880/HMOADS,9 Mark Road Oxford Oxfordshire OX3 8PB,4,4,05/02/2017,05/02/2019
16/05601/HMOADL,105 Marlborough Road Oxford Oxfordshire OX1 4LX,4,,16/01/2017,16/01/2019
16/05759/HMOADL,38 Marlborough Road Oxford Oxfordshire OX1 4LP,5,,25/01/2017,25/01/2018
16/06048/HMOADS,91 Marlborough Road Oxford Oxfordshire OX1 4LX,4,,15/02/2017,14/02/2018
17/01363/HMOADS,108 Marlborough Road Oxford Oxfordshire OX1 4LS,4,4,21/06/2017,20/06/2019
16/04638/HMOADL,17 Marlborough Road Oxford Oxfordshire OX1 4LW,5,4,30/10/2016,29/10/2018
17/01670/HMOADL,58 Marlborough Road Oxford Oxfordshire OX1 4LR,5,4,01/08/2017,31/07/2018
