Case Number,Address,Total Number Occupants,Total Number Units,Licence Commenced,Licence Expires
16/03321/HMOADS,15 Binswood Avenue Oxford Oxfordshire OX3 8NY,3,3,22/07/2016,22/09/2017
17/01697/HMOADS,33 Bodley Road Oxford Oxfordshire OX4 3UB,4,,07/07/2017,06/07/2018
16/03296/HMOADS,31 Borrowmead Road Oxford Headington Oxfordshire OX3 9QP,4,,25/07/2016,10/08/2018
16/03996/HMOADS,17 Boswell Road Oxford Oxfordshire OX4 3HW,5,,13/05/2016,13/05/2018
17/00374/HMOADS,53 Boswell Road Oxford Oxfordshire OX4 3HW,4,,01/04/2017,31/03/2019
16/03995/HMOADL,6 Boswell Road Oxford Oxfordshire OX4 3HN,5,4,11/04/2016,11/04/2018
17/01779/HMOLIC,72 Botley Road Oxford Oxfordshire OX2 0BU,5,,07/07/2017,06/07/2018
17/00271/HMOLIC,107 Botley Road Oxford Oxfordshire OX2 0HB,5,,25/03/2017,23/03/2019
16/04533/HMOLIC,207 Botley Road Oxford Oxfordshire OX2 0HG,5,5,22/10/2016,21/12/2017
16/04535/HMOADL,57 Botley Road Oxford Oxfordshire OX2 0BP,4,4,23/10/2016,07/02/2018
16/04843/HMOADL,31 Botley Road Oxford Oxfordshire OX2 0BN,5,,23/12/2016,23/12/2017
16/05437/HMOADL,39 Botley Road Oxford Oxfordshire OX2 0BN,5,,22/03/2017,21/03/2018
16/04379/HMOLIC,127 Botley Road Oxford Oxfordshire OX2 0HD,6,,20/12/2016,20/12/2017
17/00585/HMOLIC,66 Botley Road Oxford Oxfordshire OX2 0BU,6,,12/04/2017,11/04/2018
17/00971/HMOADL,79 Botley Road Oxford Oxfordshire OX2 0EZ,5,5,30/04/2017,29/04/2019
17/00986/HMOLIC,15 Botley Road Oxford OX2 0AA,8,,26/04/2017,25/04/2018
17/01163/HMOADL,119A Botley Road Oxford Oxfordshire,4,,28/04/2017,27/04/2018
16/04122/HMOADL,Flat Above 67 Botley Road Oxford Oxfordshire OX2 0BS,5,,01/10/2016,30/09/2018
17/02082/HMOLIC,80 Botley Road Oxford Oxfordshire OX2 0BU,6,6,25/07/2017,24/07/2018
17/02326/HMOLIC,101 Botley Road Oxford OX2 0HB,9,,10/08/2017,09/08/2018
17/03548/HMOLIC,113 Botley Road Oxford Oxfordshire OX2 0HD,7,7,17/02/2017,16/04/2018
17/01080/HMOLIC,Flat 5 92 Botley Road Oxford Oxfordshire OX2 0BW,5,5,15/05/2017,14/05/2018
16/00082/HMOADS,Flat 6 92 Botley Road Oxford Oxfordshire OX2 0BW,4,,01/03/2017,28/02/2019
15/01494/HMOLIC,37 Botley Road Oxford Oxfordshire OX2 0BN,6,5,06/10/2016,06/10/2017
15/05352/HMOADL,Flat 2 92 Botley Road Oxford Oxfordshire OX2 0BW,5,,21/01/2016,21/01/2018
16/04287/HMOLIC,8 Botley Road Oxford Oxfordshire OX2 0AB,9,8,14/10/2016,14/12/2017
