unique_id,price_paid,deed_date,postcode,property_type,new_build,estate_type,saon,paon,street,locality,town,district,county,transaction_category,linked_data_uri
"79F2B06F-24F2-4A75-ABD3-EFA5A403ABBA","460200","2015-08-18","OX2 8PP","S","N","F","","5","MEADOW PROSPECT","WOLVERCOTE","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/79F2B06F-24F2-4A75-ABD3-EFA5A403ABBA/current"
"EE35BAC8-40CD-44BA-9644-4A27073E8315","525000","2015-08-18","OX2 8PT","S","N","F","","46","HOME CLOSE","WOLVERCOTE","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/EE35BAC8-40CD-44BA-9644-4A27073E8315/current"
"63A222CF-1211-4621-94A7-DB17E590768F","516500","2015-06-11","OX2 8PT","S","N","F","","49","HOME CLOSE","WOLVERCOTE","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/63A222CF-1211-4621-94A7-DB17E590768F/current"
"23B6165E-BCCA-FCF4-E050-A8C0620577FA","485000","2015-10-20","OX2 8PT","S","N","F","","66","HOME CLOSE","WOLVERCOTE","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/23B6165E-BCCA-FCF4-E050-A8C0620577FA/current"
"288DCE29-9429-E510-E050-A8C06205480E","459950","2015-10-30","OX2 9SR","D","Y","F","","12","MURDOCH PLACE","","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/288DCE29-9429-E510-E050-A8C06205480E/current"
"25EA59FA-1322-4D50-E050-A8C0630562D0","302000","2015-10-28","OX20 1RN","T","N","F","","21","PARK CLOSE","BLADON","WOODSTOCK","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/25EA59FA-1322-4D50-E050-A8C0630562D0/current"
"7F43175F-8897-4B88-936E-502A56942240","300000","2015-02-16","OX29 8JU","T","N","F","","1","PARK LANE","LONG HANBOROUGH","WITNEY","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/7F43175F-8897-4B88-936E-502A56942240/current"
"3CD450F0-1A1F-4427-840B-5B6221E874C8","448000","2015-08-27","OX3 0AB","S","N","F","","23","EDEN DRIVE","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3CD450F0-1A1F-4427-840B-5B6221E874C8/current"
"23B6165E-B992-FCF4-E050-A8C0620577FA","675000","2015-10-13","OX3 0AD","D","N","F","","41A","EDEN DRIVE","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/23B6165E-B992-FCF4-E050-A8C0620577FA/current"
"56408D6B-9D46-4186-8A9B-3EF27B2C8CF4","381000","2015-03-06","OX3 0AJ","S","N","F","","12","BOWNESS AVENUE","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/56408D6B-9D46-4186-8A9B-3EF27B2C8CF4/current"
"B4097E94-F86F-42F3-BD24-2348B5F596C1","450000","2015-07-03","OX3 0AJ","S","N","F","","1A","BOWNESS AVENUE","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/B4097E94-F86F-42F3-BD24-2348B5F596C1/current"
"670D1F03-0932-4235-9C20-86B22CD44D40","400000","2015-07-21","OX3 0AJ","S","N","F","","29","BOWNESS AVENUE","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/670D1F03-0932-4235-9C20-86B22CD44D40/current"
"23B6165E-BD00-FCF4-E050-A8C0620577FA","400000","2015-10-19","OX3 0AN","S","N","F","","6","CONISTON AVENUE","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/23B6165E-BD00-FCF4-E050-A8C0620577FA/current"
"94A8003A-A7AB-4A7F-BE8B-0D7236A64FBE","360000","2015-04-24","OX3 0AP","S","N","F","","36","DERWENT AVENUE","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/94A8003A-A7AB-4A7F-BE8B-0D7236A64FBE/current"
"C210A60A-49B0-4883-ABD9-26E75B78A811","190000","2015-01-09","OX3 0AP","S","N","F","","52","DERWENT AVENUE","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/C210A60A-49B0-4883-ABD9-26E75B78A811/current"
"31FB4C17-D1C2-57B9-E050-A8C063053436","163908","2015-11-20","OX3 0AQ","S","N","F","","17A","AMBLESIDE DRIVE","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/31FB4C17-D1C2-57B9-E050-A8C063053436/current"
"23B6165E-BCF1-FCF4-E050-A8C0620577FA","334000","2015-10-08","OX3 0AQ","S","N","F","","26","AMBLESIDE DRIVE","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/23B6165E-BCF1-FCF4-E050-A8C0620577FA/current"
"1A3F787C-C33F-49C6-A4BF-4F2A9CBCC116","325000","2015-07-30","OX3 0AS","T","N","F","","89","DERWENT AVENUE","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/1A3F787C-C33F-49C6-A4BF-4F2A9CBCC116/current"
"288DCE29-941E-E510-E050-A8C06205480E","270000","2015-10-30","OX3 0AU","F","N","L","","83A","COPSE LANE","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/288DCE29-941E-E510-E050-A8C06205480E/current"
"2AC10E4F-E9CF-1AF6-E050-A8C063052BA1","285000","2015-10-30","OX3 0AU","F","N","L","","83B","COPSE LANE","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2AC10E4F-E9CF-1AF6-E050-A8C063052BA1/current"
"FF6FB002-4717-485E-AC2C-038005F99595","230000","2015-01-16","OX3 0AU","F","N","L","","96","COPSE LANE","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/FF6FB002-4717-485E-AC2C-038005F99595/current"
"288DCE29-94E3-E510-E050-A8C06205480E","430000","2015-11-23","OX3 0AW","S","N","F","","60","CONISTON AVENUE","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/288DCE29-94E3-E510-E050-A8C06205480E/current"
"EC4CB21D-C709-4845-9102-813B7D430F7B","345000","2015-03-02","OX3 0AW","S","N","F","","61","CONISTON AVENUE","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/EC4CB21D-C709-4845-9102-813B7D430F7B/current"
"FC5A86BD-8787-4C2D-91A8-C5BA5AE01809","257500","2015-01-30","OX3 0AZ","F","N","L","","6B","BROOKFIELD CRESCENT","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/FC5A86BD-8787-4C2D-91A8-C5BA5AE01809/current"
"2AC10E4F-EA28-1AF6-E050-A8C063052BA1","1400000","2015-12-17","OX3 0BU","D","N","F","","2","PULLENS FIELD","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2AC10E4F-EA28-1AF6-E050-A8C063052BA1/current"
"23B6165F-3FC8-FCF4-E050-A8C0620577FA","730000","2015-09-30","OX3 0BX","D","N","F","","ELM GATE COTTAGE","PULLENS LANE","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/23B6165F-3FC8-FCF4-E050-A8C0620577FA/current"
"34428D7E-6572-B86C-E050-A8C06205059C","1900000","2015-12-10","OX3 0DB","D","Y","F","CLAREMONT HOUSE","6B","HARBERTON MEAD","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/34428D7E-6572-B86C-E050-A8C06205059C/current"
"2AFF83CC-40F2-4C29-8B8E-787A3A89A5CF","476000","2015-08-14","OX3 0DG","S","N","F","","4","PRICHARD ROAD","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2AFF83CC-40F2-4C29-8B8E-787A3A89A5CF/current"
"2AC10E4F-E76D-1AF6-E050-A8C063052BA1","390000","2015-12-22","OX3 0DL","S","N","F","","25","JACK STRAWS LANE","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/2AC10E4F-E76D-1AF6-E050-A8C063052BA1/current"
"4CC882FE-42C9-4319-B973-756496A10E69","1460000","2015-07-10","OX3 0DL","D","N","F","","BELFRY HOUSE, 41","JACK STRAWS LANE","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4CC882FE-42C9-4319-B973-756496A10E69/current"
"4248C5BB-636F-4524-866D-36DD4D29A664","1160000","2015-07-30","OX3 0DL","D","N","F","","GLENEAGLE HOUSE, 37","JACK STRAWS LANE","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/4248C5BB-636F-4524-866D-36DD4D29A664/current"
"23B6165F-3FB7-FCF4-E050-A8C0620577FA","16100000","2015-09-30","OX3 0DT","O","N","F","","EF INTERNATIONAL LANGUAGE SCHOOLS","PULLENS LANE","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/23B6165F-3FB7-FCF4-E050-A8C0620577FA/current"
"288DCE29-91BB-E510-E050-A8C06205480E","975000","2015-12-16","OX3 0DW","D","N","F","","93","JACK STRAWS LANE","HEADINGTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/288DCE29-91BB-E510-E050-A8C06205480E/current"
"3A7459AC-8B46-4F27-AD79-008C68027E3D","386500","2015-06-19","OX3 0DZ","T","N","F","","7","HAYES CLOSE","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","A","http://landregistry.data.gov.uk/data/ppi/transaction/3A7459AC-8B46-4F27-AD79-008C68027E3D/current"
"23B6165F-3FAE-FCF4-E050-A8C0620577FA","500000","2015-09-28","OX3 0EE","S","N","F","","2","MARSTON ROAD","MARSTON","OXFORD","OXFORD","OXFORDSHIRE","B","http://landregistry.data.gov.uk/data/ppi/transaction/23B6165F-3FAE-FCF4-E050-A8C0620577FA/current"
